,result
0,1
1,2
2,1
3,1
4,0
5,1
6,1
7,2
8,1
9,2
10,1
11,1
12,1
13,2
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,0
22,2
23,1
24,0
25,1
26,2
27,2
28,2
29,1
30,0
31,2
32,1
33,1
34,1
35,1
36,2
37,1
38,0
39,0
40,2
41,0
42,1
43,1
44,1
45,1
46,1
47,1
48,2
49,1
50,0
51,1
52,0
53,1
54,2
55,2
56,2
57,1
58,2
59,1
60,2
61,2
62,1
63,0
64,1
65,0
66,2
67,0
68,2
69,2
70,1
71,1
72,1
73,1
74,2
75,1
76,2
77,0
78,1
79,0
80,2
81,1
82,1
83,1
84,0
85,2
86,2
87,2
88,2
89,1
90,1
91,0
92,2
93,2
94,1
95,0
96,2
97,2
98,0
99,0
100,1
101,2
102,1
103,1
104,2
105,1
106,2
107,1
108,1
109,1
110,1
111,2
112,0
113,1
114,2
115,0
116,1
117,2
118,2
