,result
0,1
1,2
2,1
3,2
4,1
5,0
6,2
7,2
8,2
9,1
10,2
11,1
12,1
13,2
14,2
15,1
16,2
17,1
18,1
19,1
20,2
21,0
22,2
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,0
34,2
35,1
36,0
37,1
38,1
39,1
40,0
41,2
42,2
43,1
44,0
45,0
46,2
47,2
48,1
49,1
50,2
51,1
52,2
53,1
54,1
55,2
56,0
57,1
58,0
59,1
60,2
61,1
62,1
63,0
64,1
65,2
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,2
74,2
75,1
76,0
77,1
78,2
79,1
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,1
89,2
90,1
91,0
92,2
93,1
94,2
95,2
96,1
97,1
98,1
99,0
100,1
101,2
102,2
103,2
104,2
105,2
106,1
107,0
108,0
109,2
110,2
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,2
